cid,entryTime,syncId
12345678,2018-11-26T16:44:35+05:30,123456781543230875380
350,2019-02-01T12:07:02+05:30,3501549003020714
197,2019-01-23T15:24:26+05:30,1971548237262603
215,2019-01-24T19:42:44+05:30,2151548339163150
216,2019-01-24T22:11:31+08:00,2161548339088893
166,2019-01-22T16:01:49+05:30,1661548152953358
376,2019-02-01T17:28:44+05:30,3761549022322857
347,2019-02-01T11:40:53+05:30,3471549001384673
122,2019-01-19T11:35:29+05:30,1221547877844692
993283,2018-12-01T16:17:55+05:30,9932831543661152207
318,2019-01-31T19:01:16+05:30,3181548941473480
220,2019-01-24T22:35:19+08:00,2201548340518324
317,2019-01-31T19:00:26+05:30,3171548941425385
