cid,entryTime,syncId
328,2019-01-31T20:37:02+05:30,3281548947220466
357,2019-02-01T12:37:16+05:30,3571549004834395
231,2019-01-25T14:27:24+05:30,2311548406643844
96208,2018-11-16T11:15:53+05:30,962081542347117845
96208,2018-11-16T11:16:38+05:30,962081542347195842
96208,2018-11-16T11:44:43+05:30,962081542348044532
279,2019-01-30T18:57:21+05:30,2791548854840105
351,2019-02-01T12:09:08+05:30,3511549003146945
280,2019-01-30T18:56:35+05:30,2801548854793011
298,2019-01-31T13:52:19+05:30,2981548922937086
275,2019-01-30T17:12:49+05:30,2751548848567357
251,2019-01-25T19:29:47+05:30,2511548424785850
378,2019-02-01T17:36:24+05:30,3781549022781125
109,2019-01-18T16:49:19+05:30,1091547810299234
332,2019-01-31T21:16:51+05:30,3321548949607879
156,2019-01-22T12:39:59+05:30,1561548140997546
327,2019-01-31T20:31:19+05:30,3271548946878207
368,2019-02-01T16:21:46+05:30,3681549018303205
104,2019-01-18T11:41:41+05:30,1041547791814680
341,2019-01-31T22:16:45+05:30,3411548953202033
349,2019-02-01T11:55:18+05:30,3491549002315974
379,2019-02-01T17:48:21+05:30,3791549023428626
353,2019-02-01T12:26:17+05:30,3531549004175782
371,2019-02-01T16:40:31+05:30,3711549019423445
395,2019-02-02T13:10:44+05:30,3951549093242273
297,2019-01-31T13:34:29+05:30,2971548921866565
269,2019-01-30T13:58:59+05:30,2691548836938613
352,2019-02-01T12:17:03+05:30,3521549003620942
273,2019-01-30T17:03:42+05:30,2731548848015236
268,2019-01-30T13:29:30+05:30,2681548835168655
170,2019-01-22T17:34:15+05:30,1701548158652943
394,2019-02-02T12:22:29+05:30,3941549090348155
301,2019-01-31T14:48:40+05:30,3011548926317841
323,2019-01-31T19:33:16+05:30,3231548943394197
342,2019-01-31T22:27:22+05:30,3421548953838936
48,2019-01-12T14:04:31+05:30,481547282070618
118,2019-01-19T00:37:41+05:30,1181547838358663
222,2019-01-24T20:16:33+05:30,2221548341191710
110,2019-01-18T17:00:52+05:30,1101547810969504
116,2019-01-18T22:25:27+05:30,1161547830442936
380,2019-02-01T17:48:19+05:30,3801549023497041
155,2019-01-22T12:30:12+05:30,1551548140411320
206,2019-01-24T16:18:44+05:30,2061548326923490
151,2019-01-22T10:45:55+05:30,1511548134153838
274,2019-01-30T17:12:51+05:30,2741548848562003
271,2019-01-30T16:46:32+05:30,2711548846990389
87,2019-01-16T17:21:10+05:30,871547639387534
75,2019-01-15T15:38:39+05:30,751547546829256
76,2019-01-15T16:04:16+05:30,761547548455431
320,2019-01-31T19:08:41+05:30,3201548941917819
143,2019-01-21T12:53:07+05:30,1431548055386956
117,2019-01-18T22:40:26+05:30,1171547831329895
144,2019-01-21T13:35:12+05:30,1441548057888462
253,2019-01-25T20:10:07+05:30,2531548427204770
38,2019-01-09T16:55:58+05:30,381547033157431
38,2019-01-12T11:33:28+05:30,381547273006880
38,2019-01-12T12:35:13+05:30,381547276712072
359,2019-02-01T12:45:39+05:30,3591549005337818
89,2019-01-17T13:15:44+05:30,891547711138276
281,2019-01-30T19:30:10+05:30,2811548856808647
94,2019-01-17T18:07:12+05:30,941547728631819
962081,2018-11-16T12:28:53+05:30,9620811542350077151
299,2019-01-31T14:34:10+05:30,2991548925448611
217,2019-01-24T19:51:24+05:30,2171548339683892
289,2019-01-31T11:39:43+05:30,2891548914982037
329,2019-01-31T20:41:41+05:30,3291548947496918
232,2019-01-25T14:38:20+05:30,2321548407298903
130,2019-01-19T16:49:20+05:30,1301547896671720
283,2019-01-30T19:45:58+05:30,2831548857751661
324,2019-01-31T19:35:49+05:30,3241548943546613
208,2019-01-24T18:15:09+05:30,2081548333906635
82,2019-01-16T16:15:21+05:30,821547635416007
277,2019-01-30T18:34:48+05:30,2771548853487649
247,2019-01-25T18:40:31+05:30,2471548421828581
246,2019-01-25T18:09:29+05:30,2461548419966076
295,2019-01-31T13:34:04+05:30,2951548921842644
338,2019-01-31T21:56:53+05:30,3381548952011357
145,2019-01-21T15:29:33+05:30,1451548064772517
383,2019-02-01T18:59:35+05:30,3831549027768179
360,2019-02-01T12:50:40+05:30,3601549005638512
201,2019-01-23T17:40:15+05:30,2011548245403315
77,2019-01-16T12:19:21+05:30,771547621284317
77,2019-01-16T12:54:09+05:30,771547623365439
250,2019-01-25T19:17:46+05:30,2501548424064943
91,2019-01-17T16:58:56+05:30,911547724449071
252,2019-01-25T19:44:10+05:30,2521548425646303
305,2019-01-31T17:14:32+05:30,3051548935070478
88,2019-01-16T17:36:39+05:30,881547640310080
224,2019-01-24T20:38:45+05:30,2241548342522353
152,2019-01-22T11:58:26+05:30,1521548138504228
346,2019-02-01T11:33:07+05:30,3461549000985574
361,2019-02-01T12:57:31+05:30,3611549006048514
0,2018-11-17T16:35:05+05:30,01542452704017
0,2018-11-20T16:11:53+05:30,01542710512488
0,2018-11-20T17:25:03+05:30,01542714901961
0,2018-11-26T13:01:29+05:30,01543217488053
0,2018-11-26T13:01:43+05:30,01543217503127
0,2018-11-26T13:01:58+05:30,01543217503127
0,2018-11-26T13:02:03+05:30,01543217523426
0,2018-11-26T13:02:31+05:30,01543217551037
0,2018-11-26T13:02:39+05:30,01543217558427
0,2018-11-26T16:40:13+05:30,01543230610914
0,2018-11-29T13:32:45+05:30,01543478562258
0,2018-12-01T14:23:30+05:30,01543654409340
0,2018-12-01T14:26:57+05:30,01543654485619
0,2018-12-01T14:30:57+05:30,01543654704232
0,2019-01-09T17:10:11+05:30,01547034009221
0,2019-01-09T17:35:11+05:30,01547035511069
0,2019-01-09T17:35:27+05:30,01547035527614
0,2019-01-09T17:39:10+05:30,01547035750125
0,2019-01-09T17:40:41+05:30,01547035840758
